"dur","start_time","mouse_trace_x","mouse_trace_y","interruptedResponse","pixperrefresh","refreshRate","angle","side","start_position","splitTime","fixTime","speed","subjectID","test_part","trialID","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"2001.8999999761581","44295.10000002384","[434,434,436,441,446,453,462,468,475,489,503,517,537,563,588,614,630,642,654,666,677,689,701,716,727,741,753,766,777,792,801,814,826,839,851,868,889,916,941,961,977,994,1011,1031,1053,1072,1089,1109,1128,1147,1171,1189,1195,1197,1198,1198,1198,1198,1198]","[476,476,476,476,476,476,476,476,476,476,476,476,474,468,463,460,460,460,460,461,463,465,468,470,472,474,474,474,474,475,475,476,476,477,477,477,477,477,477,477,476,476,476,476,476,480,483,486,487,488,490,490,490,487,484,484,484,484,484]","false","13.167000000000002","33","135","l","-300","1059.2309665873327","0","399","AB","trial","67","manual-tracking","14","46245","0.0-0.0-0.7","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","15","47748","0.0-0.0-1.7","null","<p>Well done.</p>","null"
"2004.8000000715256","49579.299999952316","[1037,1033,1030,1029,1028,1027,1024,1015,1002,984,960,945,934,928,922,915,905,877,850,816,802,768,748,730,718,706,696,687,674,662,648,631,612,592,572,555,541,524,512,501,490,479,468,454,441,427,402,391,381,370,358,347,333,315,293,265,254,248,246]","[461,461,461,461,461,461,461,461,461,461,462,462,462,462,460,459,459,460,463,467,468,468,468,468,468,468,468,468,468,468,469,470,471,472,472,472,472,471,471,470,469,469,467,465,464,462,461,460,460,460,460,462,465,471,476,485,489,494,498]","false","13.167000000000002","33","0","r","300","1158.7145697967987","0","399","AB","trial","72","manual-tracking","16","51532","0.0-0.0-0.8","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","17","53035","0.0-0.0-1.8","null","<p>Well done.</p>","null"
"2001.3999999761581","54345.5","[437,437,443,451,461,467,473,480,491,501,514,526,542,563,587,601,616,630,642,653,667,682,694,705,713,723,735,750,769,784,803,819,835,851,867,879,901,924,957,982,1004,1022,1037,1047,1057,1065,1074,1091,1111,1135,1147,1152,1153,1153,1153,1153,1153,1153,1153]","[467,467,467,467,467,467,467,467,467,469,473,476,479,480,481,482,483,484,485,485,485,485,485,485,485,485,483,480,477,475,474,473,471,468,464,461,458,455,452,449,447,447,448,451,455,458,461,464,466,466,466,464,463,463,463,463,463,463,463]","false","13.167000000000002","33","45","l","-300","814.325250157513","0","399","AB","trial","33","manual-tracking","18","56295","0.0-0.0-0.9","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","19","57798","0.0-0.0-1.9","null","<p>Well done.</p>","null"
"2001.3000000715256","59611.799999952316","[447,447,449,454,460,466,476,483,499,509,521,534,548,560,572,581,593,608,622,636,653,670,688,706,721,742,760,776,788,804,818,841,859,878,895,919,942,957,967,973,980,991,1006,1024,1040,1052,1061,1075,1093,1109,1120,1123,1124,1124,1124,1124,1124,1124,1124]","[465,465,465,465,465,465,465,465,465,465,465,464,464,463,463,463,463,463,463,463,463,463,464,465,466,468,469,470,471,471,472,473,473,475,475,475,475,474,474,474,474,473,471,469,468,467,467,467,467,467,466,465,464,464,464,464,464,464,464]","false","13.167000000000002","33","0","l","-300","896.2229845167114","0","399","AB","trial","48","manual-tracking","20","61561","0.0-0.0-0.10","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","21","63063","0.0-0.0-1.10","null","<p>Well done.</p>","null"
"2001.6000000238419","65012.89999997616","[455,464,475,488,502,517,531,540,550,557,565,576,588,601,615,630,648,660,670,683,691,698,706,717,729,749,770,794,816,834,846,862,876,888,902,911,918,925,932,941,948,956,968,982,1000,1023,1060,1078,1083,1099,1111,1128,1140,1147,1152,1155,1156,1156,1156]","[470,470,470,470,470,470,470,470,471,472,472,472,472,472,472,472,473,474,476,479,480,481,482,482,482,482,481,478,476,474,474,473,472,471,471,471,471,471,473,474,475,475,475,475,475,477,482,487,488,490,490,488,486,484,482,480,478,477,477]","false","13.167000000000002","33","90","l","-300","962.9325388024205","0","399","AB","trial","34","manual-tracking","22","66962","0.0-0.0-0.11","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","23","68464","0.0-0.0-1.11","null","<p>Well done.</p>","null"
