"dur","start_time","mouse_trace_x","mouse_trace_y","interruptedResponse","pixperrefresh","refreshRate","angle","side","start_position","splitTime","fixTime","speed","subjectID","test_part","trialID","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"","","","","","","","","","","","","","","feedback","","html-button-response","15","48051","0.0-0.0-1.7","null","<p>Well done.</p>","null"
"2001.1000000238419","49472.799999952316","[435,435,435,439,444,449,460,475,493,510,531,554,569,582,595,610,628,648,667,690,706,720,732,743,752,761,771,781,796,807,821,835,851,866,878,890,905,911,918,924,932,943,958,978,993,1010,1018,1023,1028,1035,1044,1053,1065,1092,1105,1112,1116,1118,1119]","[467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,468,468,468,469,469,470,470,470,470,470,470,470,470,469,469,468,468,468,468,468,468,468,468,467,466,464,463,463,462,462,462]","false","13.167000000000002","33","45","l","-300","1050.4308197666808","0","399","AA","trial","65","manual-tracking","16","51415","0.0-0.0-0.8","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","17","52917","0.0-0.0-1.8","null","<p>Well done.</p>","null"
"2001.2000000476837","54489.09999990463","[1040,1040,1040,1040,1039,1037,1033,1024,1012,981,957,932,906,878,858,841,828,817,809,801,793,786,780,767,754,739,721,702,683,664,646,623,612,602,589,578,566,556,547,541,533,523,512,499,487,474,460,444,421,402,390,378,368,359,350,341,333,323,309]","[465,465,465,465,465,465,465,465,465,465,465,466,467,469,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,469,469,469,469,469,469,469,467,465,464,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463]","false","13.167000000000002","33","90","r","300","1001.6813872083859","0","399","AA","trial","10","manual-tracking","18","56431","0.0-0.0-0.9","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","19","57935","0.0-0.0-1.9","null","<p>Well done.</p>","null"
"2001.3000000715256","59255.59999990463","[432,432,438,447,459,474,488,504,518,536,556,576,592,612,627,643,658,673,685,700,714,724,736,748,760,775,791,807,824,840,860,878,901,916,934,948,961,973,983,991,998,1006,1012,1019,1025,1032,1041,1054,1070,1091,1125,1144,1150,1150,1150,1150,1150,1150,1150]","[469,469,469,469,469,469,469,469,469,469,469,469,470,471,471,471,471,471,471,473,474,474,475,476,477,477,479,480,481,482,482,482,482,481,480,477,476,475,475,475,475,475,475,476,477,478,479,479,479,479,479,478,477,477,477,477,477,477,477]","false","13.167000000000002","33","270","l","-300","921.5889399174604","0","399","AA","trial","22","manual-tracking","20","61198","0.0-0.0-0.10","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","21","62701","0.0-0.0-1.10","null","<p>Well done.</p>","null"
"2001.2000000476837","64056.199999928474","[1046,1046,1044,1042,1041,1038,1034,1025,1007,986,961,935,910,890,872,860,847,836,828,815,803,789,773,757,740,722,700,685,674,661,651,640,630,621,613,603,595,588,581,573,558,545,533,514,500,489,476,462,447,430,415,401,389,375,364,354,344,337,332]","[469,469,469,469,469,469,469,469,468,467,466,466,466,466,466,466,466,467,467,467,467,467,467,467,467,467,467,467,467,468,470,471,471,471,471,471,470,469,469,468,468,468,468,468,468,468,468,468,468,469,471,472,472,472,472,472,472,473,474]","false","13.167000000000002","33","180","r","300","984.5892886630528","0","399","AA","trial","44","manual-tracking","22","65998","0.0-0.0-0.11","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","23","67499","0.0-0.0-1.11","null","<p>Well done.</p>","null"
"2001.2000000476837","69306.29999995232","[1040,1040,1040,1036,1028,1020,1009,997,986,962,941,919,896,869,852,840,830,822,815,810,806,801,789,775,760,742,720,700,683,666,649,629,606,594,580,569,558,543,531,513,500,488,473,458,439,416,394,380,373,373,373,373,373,373,373,373,373,373,373]","[463,463,463,463,463,463,463,463,462,459,457,456,453,448,445,444,444,444,445,446,446,446,446,446,446,446,448,450,451,452,453,455,458,459,459,459,460,460,460,462,463,465,467,469,471,472,472,472,472,472,472,472,472,472,472,472,472,472,472]","false","13.167000000000002","33","0","r","300","938.1872756327806","0","399","AA","trial","8","manual-tracking","24","71248","0.0-0.0-0.12","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","25","72750","0.0-0.0-1.12","null","<p>Well done.</p>","null"
"2002","74639.59999990463","[1044,1044,1043,1042,1040,1035,1030,1021,1014,1000,986,967,948,921,903,885,864,850,842,820,803,787,772,758,739,727,713,703,693,684,674,665,655,646,632,619,607,595,579,565,549,523,506,491,479,470,463,457,451,447,440,430,416,403,392,382,374,369,367]","[470,470,470,470,470,470,470,470,470,470,471,472,473,473,473,473,473,473,473,474,475,477,478,478,479,479,479,479,478,477,476,475,474,473,469,466,463,462,460,460,460,460,460,460,460,460,460,461,462,463,464,465,467,469,469,471,472,472,472]","false","13.167000000000002","33","135","r","300","814.0457198226545","0","399","AA","trial","59","manual-tracking","26","76582","0.0-0.0-0.13","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","27","78085","0.0-0.0-1.13","null","<p>Well done.</p>","null"
"2001.3999999761581","79539.5","[445,445,445,445,446,448,454,464,485,504,523,543,562,579,594,608,619,631,645,660,679,701,723,744,767,782,793,806,816,830,835,854,867,878,888,898,910,920,933,949,965,984,1000,1021,1043,1065,1085,1102,1117,1130,1146,1168,1171,1175,1176,1177,1177,1177,1177]","[466,466,466,466,466,466,466,466,466,466,465,464,464,462,462,461,461,461,461,461,462,464,466,467,469,470,471,471,471,471,471,471,471,472,472,473,475,475,475,475,476,477,477,478,478,478,478,478,478,478,479,481,481,480,478,477,477,477,477]","false","13.167000000000002","33","180","l","-300","891.8218768781286","0","399","AA","trial","4","manual-tracking","28","81481","0.0-0.0-0.14","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","29","82985","0.0-0.0-1.14","null","<p>Well done.</p>","null"
"2002.2000000476837","85840.69999992847","[1036,1032,1030,1028,1025,1022,1013,1002,988,962,933,886,871,840,824,811,799,791,785,778,768,757,742,727,711,694,672,654,636,617,600,582,567,551,535,520,500,486,472,458,445,433,420,409,397,388,374,365,356,347,337,327,313,294,281,274,270,269,269]","[466,466,466,466,466,466,466,466,466,470,473,478,479,480,480,480,481,481,481,481,481,481,481,481,480,480,479,479,478,478,478,478,478,478,478,478,479,481,482,483,484,484,485,486,487,488,489,489,489,490,490,490,490,490,489,489,489,490,491]","false","13.167000000000002","33","315","r","300","1167.7189403624657","0","399","AA","trial","15","manual-tracking","30","87783","0.0-0.0-0.15","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","31","89285","0.0-0.0-1.15","null","<p>Well done.</p>","null"
"2001.3000000715256","90956.69999992847","[1046,1046,1046,1046,1046,1044,1039,1030,1004,981,956,931,908,885,867,851,840,826,810,794,782,770,762,755,745,733,723,710,701,689,672,662,649,638,623,603,567,553,544,538,532,525,518,507,496,486,471,459,440,400,369,347,339,339,339,339,339,339,339]","[466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,468,469,470,470,470,470,470,471,473,473,473,473,473,472,470,467,464,462,462,462,463,463,462,462,462,462,462,462,462,461,460,459,460,469,480,480,480,480,480,480,480]","false","13.167000000000002","33","90","r","300","1016.2321906388896","0","399","AA","trial","42","manual-tracking","32","92897","0.0-0.0-0.16","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","33","94399","0.0-0.0-1.16","null","<p>Well done.</p>","null"
"2001.6000000238419","95806.39999997616","[439,440,449,457,463,468,478,490,505,525,551,571,588,603,619,633,647,665,681,692,706,718,731,745,757,769,779,788,799,808,817,827,838,850,860,873,887,906,922,938,958,977,993,1008,1022,1026,1032,1038,1048,1063,1092,1125,1148,1155,1155,1155,1155,1155,1155]","[479,479,479,479,479,479,479,479,479,479,479,479,478,478,477,476,475,475,473,473,473,472,472,471,471,471,471,471,471,471,471,471,471,472,473,475,476,479,481,484,487,489,491,492,493,493,494,494,494,491,485,480,476,476,476,476,476,476,476]","false","13.167000000000002","33","225","l","-300","992.0986581674088","0","399","AA","trial","69","manual-tracking","34","97747","0.0-0.0-0.17","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","35","99250","0.0-0.0-1.17","null","<p>Well done.</p>","null"
"2000.8999999761581","100873.79999995232","[436,436,437,443,455,466,475,485,496,506,521,530,540,549,557,566,575,584,597,611,627,651,673,694,714,731,744,755,763,771,775,783,793,804,816,831,849,867,886,913,934,953,970,986,1000,1014,1029,1041,1061,1075,1095,1109,1114,1114,1114,1114,1114,1114,1114]","[469,469,469,469,469,469,469,469,469,468,467,467,467,467,467,467,467,468,469,470,470,470,470,470,470,470,470,470,470,470,470,470,470,469,469,469,469,468,466,463,462,462,462,462,464,464,465,465,465,465,465,465,465,465,465,465,465,465,465]","false","13.167000000000002","33","45","l","-300","819.2437206293579","0","399","AA","trial","1","manual-tracking","36","102814","0.0-0.0-0.18","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","37","104317","0.0-0.0-1.18","null","<p>Well done.</p>","null"
